HML_SI,HML_SI_BIN,HML_SI_CAT,CORR_PRODUCTION,CORR_NC_RATE,CORR_COKE_RATE,CORR_FUEL_RATE,CORR_COAL_RATE,HM_TEMP,QUARTZ_RATE,LIMESTONE_RATE,SLAG_RATE,PYROXINITE_RATE,SINTER_PERC,PELLET_PERC,HOT_BLAST_TEMP,COLD_BLAST_O2_ENRICH,O2_INJ_FLOW,COLD_BLAST_HUMID,FUR_RAFT_TEMP,COMP_COLD_BLAST_FLOW,UPTAKE_AVG,HL_TOTAL_GJ_HR,UPPER_K,MIDDLE_K,LOWER_K,K,HML_S,HML_CAO,HML_SIO2,HML_MGO,HML_AL2O3,HML_CAO_SIO2,COK_MOISTURE,COK_CSR,COK_CRI,COK_AMS,SIN_CAO_SIO2,SIN_MGO
0.736,0,H,5141.05,27.426,438.432,591.319,152.887,1501.4,15.862,2.931,340,22.069,48.01,33.984,1166.747,5.516,16516.688,26.55,2214.348,211.108,98.848,135.953,0.422,0.917,2.859,4.199,0.039,34.917,34.642,9.438,18.372,1.008,2,67.65,24.65,36.399,2.758,2.05
0.895,0,H,5594.74,29.671,388.937,509.05,120.113,1506.667,0,0,299,20,47.963,33.958,1080.873,5.937,17462.372,38.352,2157.296,208.587,114.653,173.264,0.517,0.93,2.408,3.856,0.056,33.8,35.153,9.503,18.703,0.962,0.9,68.17,25.65,36.312,2.354,2.018
0.776,0,H,5825.17,28.669,345.226,513.29,168.064,1519,0,0,291,10,47.97,33.931,1128.592,6.206,18786.607,21.158,2166.724,208.444,117.283,161.871,0.518,0.863,2.414,3.794,0.046,35.353,34.58,8.379,19.119,1.022,1.867,65.623,25.784,36.29,2.44,1.987
0.752,0,H,6115.97,28.614,334.698,513.737,179.039,1513.75,2.419,0,304,16.452,48.018,36.607,1138.329,7.213,22638.754,18.575,2196.043,209.091,112.716,184.124,0.5,0.946,2.342,3.787,0.042,35.475,33.791,8.883,19.264,1.05,2.433,66,25.7,35.219,2.396,1.898
0.667,1,L,6115.59,26.817,319.838,513.769,193.931,1510.5,0,0,305,23.77,48.512,37.011,1119.51,7.455,22994.964,17.094,2153.842,203.523,105.028,169.926,0.41,0.866,2.4,3.676,0.035,36.451,33.534,8.494,19.017,1.087,2.033,66.54,26.69,35.298,2.793,1.635
0.661,1,L,6345.85,30.414,322.1,511.2,189.1,1503.5,5.556,0,308,17.143,47.945,37.038,1123.725,7.379,23250.317,15,2170.62,207.947,99.833,163.606,0.413,0.888,2.47,3.77,0.054,34.788,34.629,9.506,18.39,1.005,3.567,64.8,26.7,36.379,2.482,1.865
0.637,1,L,6195.05,30.67,329.618,523.482,193.864,1504.571,0,0,299,8.889,47.985,37.004,1133.656,7.192,22429.969,15.888,2160.534,207.241,108.404,189.428,0.43,0.934,2.664,4.029,0.06,35.112,34.363,8.62,18.635,1.022,3.567,65.07,26.58,35.889,2.483,1.99
0.718,0,H,6282.43,30.084,328.058,516.679,188.621,1503.667,0,0,298,9.048,48.015,36.922,1150.356,7.424,22878.882,17.769,2176.234,203.951,117.964,179.378,0.413,0.846,2.675,3.935,0.054,34.901,34.053,8.631,18.914,1.025,2.56,65.9,26.8,36.788,2.585,1.965
0.603,1,L,6268.88,30.149,334.35,529.281,194.931,1496.857,0,0,297,8.413,47.981,36.995,1152.862,7.502,22876.528,15,2172.37,200.456,109.864,140.353,0.358,0.733,2.65,3.741,0.047,35.653,33.793,8.931,19.035,1.055,3.1,64.91,26.35,36.659,2.671,2.053
0.749,0,H,6165.8,30.329,339.453,528.561,189.108,1506.5,0,0,298,10.4,48.012,36.973,1146.249,7.141,21879.715,15.952,2173.595,202.567,104.952,142.402,0.405,0.767,2.68,3.852,0.039,35.557,33.494,8.806,19.519,1.062,1.8,63.9,28.2,36.595,2.535,1.977
0.701,0,H,6345.2,19.07,334.111,521.181,187.071,1497.625,0,0,308,13.492,49.236,36.989,1147.702,7.471,22950.778,16.651,2178.222,202.621,104.274,154.981,0.414,0.774,2.721,3.909,0.057,33.833,34.324,9.396,19.561,0.986,2.433,63.6,25.1,36.353,2.366,1.926
0.67,1,L,6110.27,35.678,363.323,557.749,194.427,1500.333,0,0,323,0,49.684,36.575,1158.089,7.433,22660.902,15.349,2187.759,200.966,95.98,160.348,0.402,0.909,2.66,3.971,0.044,36.342,33.368,8.53,19.042,1.089,1.9,59.3,30.5,38.565,2.501,2.086
0.709,0,H,6065.54,28.027,360.232,548.508,188.277,1506.5,3.387,0,329,20.806,48.989,36.989,1160.208,7.033,21626.366,19.76,2175.241,206.28,104.232,159.151,0.425,0.902,2.728,4.055,0.034,37.386,33.04,8.45,18.273,1.132,2.28,66,23.8,38.834,2.594,2.078
0.68,1,L,6240.26,37.819,357.197,545.971,188.774,1495,3.651,0,325,27.46,48.998,37.017,1155.006,7.02,21973.066,15.568,2185.738,209.014,104.679,163.956,0.419,0.747,2.787,3.953,0.044,35.013,34.369,9.796,18.156,1.019,3.4,63.7,26.35,36.394,2.592,1.978
0.662,1,L,6231.89,36.426,334.249,525.844,191.595,1487.429,0,0,311,21.613,48.334,37.016,1152.96,7.105,22121.672,15.278,2179.418,207.297,108.418,158.451,0.425,0.622,2.749,3.795,0.039,35.31,34.154,9.776,17.98,1.034,1.733,65.623,25.784,36.517,2.683,1.832
0.674,1,L,6186.61,34.268,344.454,540.361,195.907,1495.75,0,0,306,17.778,48.022,37.051,1153.797,7.401,22997.12,15,2183.906,204.911,113.795,173.089,0.443,0.559,2.792,3.794,0.042,35.7,34.111,9.23,18.053,1.047,3,63.2,25.4,36.385,2.61,1.685
0.718,0,H,6052.81,25.443,338.52,530.497,191.977,1505.143,2.903,0,317,20,47.91,37.065,1154.176,7.419,22848.328,15.926,2198.324,203.193,114.293,193.973,0.462,0.788,2.672,3.921,0.029,36.404,33.64,9.276,18.159,1.082,2.033,63.2,25.8,36.729,2.695,1.912
0.741,0,H,5886.57,23.273,339.077,531.209,192.132,1488.429,12.5,0,300,8.667,47.928,37.038,1148.011,7.136,21728.038,19.368,2166.545,200.809,127.371,189.048,0.464,0.916,2.584,3.964,0.053,35.288,35.098,8.503,18.38,1.005,1.8,68.5,24.6,36.147,2.59,1.886
0.722,0,H,6287.37,32.446,335.116,532.496,197.38,1491.2,0.952,0,292,4.286,48.011,36.943,1155.89,7.721,24003.12,15,2186.483,203.068,126.907,165.366,0.467,0.804,2.588,3.859,0.054,35.037,35.293,8.25,18.472,0.993,1.5,64.3,25.9,36.492,2.512,2.16
0.793,0,H,6142.76,34.349,339.75,541.288,201.538,1502.75,0,0,294,8.889,47.973,37.014,1158.152,7.937,24504.781,17.737,2181.065,200.898,114.903,178.264,0.455,0.855,2.602,3.912,0.04,35.045,33.4,8.143,17.936,1.049,1.9,66.17,24.69,36.81,2.532,2.143
0.797,0,H,6208.76,36.239,340.487,536.5,196.013,1505.625,0,0,285,18.413,47.99,30.986,1159.329,7.969,24497.105,18.393,2187.272,199.981,101.879,181.332,0.411,0.887,2.576,3.874,0.043,35.241,34.416,8.754,18.781,1.024,2,68.5,24.7,35.752,2.559,2.03
